File,n,Repeated N-grams,Total N-grams,Repetition Percentage
conditional_topk_k=2560_large.jsonl,1,78739,635228,12.395391890785671
conditional_topk_k=2560_large.jsonl,2,19536,630228,3.099830537519755
conditional_topk_k=2560_large.jsonl,3,8006,625241,1.2804662522131467
conditional_topk_k=2560_large.jsonl,4,5313,620269,0.8565638456863071
conditional_topk_k=2560_large.jsonl,5,4158,615314,0.6757525426042638
conditional_topk_k=10240_t=0.7_large.jsonl,1,105675,657305,16.077011433048586
conditional_topk_k=10240_t=0.7_large.jsonl,2,63970,652305,9.806762174136333
conditional_topk_k=10240_t=0.7_large.jsonl,3,41433,647313,6.40076748033795
conditional_topk_k=10240_t=0.7_large.jsonl,4,31685,642330,4.9328226923855345
conditional_topk_k=10240_t=0.7_large.jsonl,5,26211,637356,4.112458343531715
conditional_sampling_t=0.8_large.jsonl,1,98365,653368,15.05506850656904
conditional_sampling_t=0.8_large.jsonl,2,44357,648368,6.841330849147398
conditional_sampling_t=0.8_large.jsonl,3,23140,643381,3.5966247060450964
conditional_sampling_t=0.8_large.jsonl,4,15855,638411,2.48350983927282
conditional_sampling_t=0.8_large.jsonl,5,12295,633454,1.940945988185409
conditional_topk_k=80_large.jsonl,1,95004,657641,14.446179602549112
conditional_topk_k=80_large.jsonl,2,30135,652641,4.617393023116844
conditional_topk_k=80_large.jsonl,3,12531,647652,1.9348353745530007
conditional_topk_k=80_large.jsonl,4,7886,642676,1.227056868468715
conditional_topk_k=80_large.jsonl,5,5900,637711,0.9251839783224689
conditional_sbs_w=8_large.jsonl,1,57157,490838,11.64477892909677
conditional_sbs_w=8_large.jsonl,2,13074,485838,2.6910204636113275
conditional_sbs_w=8_large.jsonl,3,5191,480838,1.079573577795432
conditional_sbs_w=8_large.jsonl,4,3367,475845,0.7075833517216741
conditional_sbs_w=8_large.jsonl,5,2569,470864,0.5455927826293793
conditional_sampling_t=0.1_large.jsonl,1,93377,705706,13.231714056561797
